iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 29, 2019"
Total Net Assets,"1,677,384,384.60"
Shares Outstanding,"14,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MCO","MOODYS CORP","Equity","0.59","181.09","54,907.00","9,943,108.63","9,943,108.63","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"WELL","WELLTOWER INC","Equity","0.59","77.60","127,658.00","9,906,260.80","9,906,260.80","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.55","75.32","122,233.00","9,206,589.56","9,206,589.56","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.55","200.73","45,766.00","9,186,609.18","9,186,609.18","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.52","59.25","146,451.00","8,677,221.75","8,677,221.75","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.49","65.81","125,107.00","8,233,291.67","8,233,291.67","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC","Equity","0.49","119.00","68,664.00","8,171,016.00","8,171,016.00","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.47","100.12","78,062.00","7,815,567.44","7,815,567.44","Financials","2702337","US74144T1088","NASDAQ"
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.46","71.16","108,502.00","7,721,002.32","7,721,002.32","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"VTR","VENTAS REIT INC","Equity","0.45","63.81","117,690.00","7,509,798.90","7,509,798.90","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.45","175.65","42,658.00","7,492,877.70","7,492,877.70","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.44","199.66","37,200.00","7,427,352.00","7,427,352.00","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"O","REALTY INCOME REIT CORP","Equity","0.44","73.56","100,380.00","7,383,952.80","7,383,952.80","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.43","157.02","45,772.00","7,187,119.44","7,187,119.44","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.41","31.90","215,777.00","6,883,286.30","6,883,286.30","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.41","133.88","51,048.00","6,834,306.24","6,834,306.24","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP","Equity","0.39","90.41","72,166.00","6,524,528.06","6,524,528.06","Financials","2648668","US6658591044","NASDAQ"
"WY","WEYERHAEUSER REIT","Equity","0.39","26.34","246,655.00","6,496,892.70","6,496,892.70","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.38","25.22","255,564.00","6,445,324.08","6,445,324.08","Financials","2336747","US3167731005","NASDAQ"
"ESS","ESSEX PROPERTY TRUST REIT INC","Equity","0.37","289.24","21,710.00","6,279,400.40","6,279,400.40","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.35","49.72","118,773.00","5,905,393.56","5,905,393.56","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"AMP","AMERIPRISE FINANCE INC","Equity","0.34","128.10","44,765.00","5,734,396.50","5,734,396.50","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"CSGP","COSTAR GROUP INC","Equity","0.33","466.42","12,037.00","5,614,297.54","5,614,297.54","Industrials","2262864","US22160N1090","NASDAQ"
"MSCI","MSCI INC","Equity","0.33","198.84","27,862.00","5,540,080.08","5,540,080.08","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.33","100.46","54,441.00","5,469,142.86","5,469,142.86","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.32","142.56","37,248.00","5,310,074.88","5,310,074.88","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"KEY","KEYCORP","Equity","0.31","15.75","333,306.00","5,249,569.50","5,249,569.50","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"CBRE","CBRE GROUP INC CLASS A","Equity","0.30","49.45","103,199.00","5,103,190.55","5,103,190.55","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
