iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"2,253,097,627.19"
Shares Outstanding,"18,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"EQIX","EQUINIX REIT INC","Equity","0.58","392.10","33,582.00","13,167,502.20","13,167,502.20","Real Estate","BVLZX12","US29444U7000","NASDAQ"
"PSA","PUBLIC STORAGE REIT","Equity","0.55","194.44","64,293.00","12,501,130.92","12,501,130.92","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.54","78.83","156,091.00","12,304,653.53","12,304,653.53","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.54","189.84","64,678.00","12,278,471.52","12,278,471.52","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.52","166.88","71,468.00","11,926,579.84","11,926,579.84","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.51","111.90","104,112.00","11,650,132.80","11,650,132.80","Financials","2702337","US74144T1088","NASDAQ"
"SYF","SYNCHRONY FINANCIAL","Equity","0.50","36.39","316,001.00","11,499,276.39","11,499,276.39","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.50","35.03","324,384.00","11,363,171.52","11,363,171.52","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.44","33.05","303,585.00","10,033,484.25","10,033,484.25","Financials","2336747","US3167731005","NASDAQ"
"AMP","AMERIPRISE FINANCE INC","Equity","0.44","156.44","63,593.00","9,948,488.92","9,948,488.92","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP TRUST","Equity","0.43","105.87","92,409.00","9,783,340.83","9,783,340.83","Financials","2648668","US6658591044","NASDAQ"
"KEY","KEYCORP","Equity","0.43","21.13","462,714.00","9,777,146.82","9,777,146.82","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.42","19.41","499,375.00","9,692,868.75","9,692,868.75","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.41","156.02","59,404.00","9,268,212.08","9,268,212.08","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.40","43.49","211,730.00","9,208,137.70","9,208,137.70","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.39","157.90","56,857.00","8,977,720.30","8,977,720.30","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.39","100.64","88,404.00","8,896,978.56","8,896,978.56","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.39","56.23","158,137.00","8,892,043.51","8,892,043.51","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"WELL","WELLTOWER INC","Equity","0.37","52.50","159,409.00","8,368,972.50","8,368,972.50","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.36","52.85","153,689.00","8,122,463.65","8,122,463.65","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.35","157.27","50,534.00","7,947,482.18","7,947,482.18","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.35","118.87","66,500.00","7,904,855.00","7,904,855.00","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
