iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 31, 2018"
Total Net Assets,"1,928,585,001.10"
Shares Outstanding,"15,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.40","208.72","683,825.00","142,727,954.00","142,727,954.00","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","7.19","114.58","1,209,668.00","138,603,759.44","138,603,759.44","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","5.37","30.93","3,350,197.00","103,621,593.21","103,621,593.21","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","4.83","146.89","634,598.00","93,216,100.22","93,216,100.22","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","4.72","58.48","1,558,135.00","91,119,734.80","91,119,734.80","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","3.64","215.56","325,751.00","70,218,885.56","70,218,885.56","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.35","71.24","905,955.00","64,540,234.20","64,540,234.20","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.56","54.11","554,366.00","29,996,744.26","29,996,744.26","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.54","237.81","124,803.00","29,679,401.43","29,679,401.43","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.39","105.98","253,711.00","26,888,291.78","26,888,291.78","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","1.24","143.54","166,806.00","23,943,333.24","23,943,333.24","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.23","48.83","484,290.00","23,647,880.70","23,647,880.70","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.21","149.12","156,916.00","23,399,313.92","23,399,313.92","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","1.16","135.24","165,492.00","22,381,138.08","22,381,138.08","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","1.12","50.79","426,618.00","21,667,928.22","21,667,928.22","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","1.10","174.73","120,979.00","21,138,660.67","21,138,660.67","Financials","2965839","US12572Q1058","NASDAQ"
"BLK","BLACKROCK INC","Equity","1.09","479.06","43,818.00","20,991,451.08","20,991,451.08","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
