iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 28, 2018"
Total Net Assets,"1,864,132,820.73"
Shares Outstanding,"15,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"STI","SUNTRUST BANKS INC","Equity","0.58","66.79","161,977.00","10,818,443.83","10,818,443.83","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.57","201.63","52,681.00","10,622,070.03","10,622,070.03","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.55","1.00","10,282,530.00","10,282,530.22","10,282,530.22","Cash and/or Derivatives","-","US0669224778","-"
"MCO","MOODYS CORP","Equity","0.53","167.20","58,695.00","9,813,804.00","9,813,804.00","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.50","109.18","85,498.00","9,334,671.64","9,334,671.64","Financials","2702337","US74144T1088","NASDAQ"
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.49","76.45","120,467.00","9,209,702.15","9,209,702.15","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.47","181.15","48,593.00","8,802,621.95","8,802,621.95","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.46","32.27","266,375.00","8,595,921.25","8,595,921.25","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.46","66.26","129,475.00","8,579,013.50","8,579,013.50","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"WELL","WELLTOWER INC","Equity","0.45","64.32","130,792.00","8,412,541.44","8,412,541.44","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.45","164.54","50,552.00","8,317,826.08","8,317,826.08","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.44","112.48","72,457.00","8,149,963.36","8,149,963.36","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP TRUST","Equity","0.43","102.13","78,498.00","8,017,000.74","8,017,000.74","Financials","2648668","US6658591044","NASDAQ"
"SYF","SYNCHRONY FINANCIAL","Equity","0.40","31.08","239,568.00","7,445,773.44","7,445,773.44","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"AMP","AMERIPRISE FINANCE INC","Equity","0.40","147.66","49,875.00","7,364,542.50","7,364,542.50","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"KEY","KEYCORP","Equity","0.39","19.89","369,860.00","7,356,515.40","7,356,515.40","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.38","18.35","387,591.00","7,112,294.85","7,112,294.85","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"VTR","VENTAS REIT INC","Equity","0.37","54.38","125,312.00","6,814,466.56","6,814,466.56","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
