iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Nov 30, 2018"
Total Net Assets,"1,814,553,598.27"
Shares Outstanding,"15,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","8.22","218.24","683,166.00","149,094,147.84","149,094,147.84","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","7.22","111.19","1,177,802.00","130,959,804.38","130,959,804.38","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","5.09","28.40","3,255,300.00","92,450,520.00","92,450,520.00","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","4.77","141.71","611,335.00","86,632,282.85","86,632,282.85","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","4.54","54.28","1,519,008.00","82,451,754.24","82,451,754.24","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","3.54","201.07","319,710.00","64,284,089.70","64,284,089.70","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.15","64.79","881,929.00","57,140,179.91","57,140,179.91","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.61","54.46","536,636.00","29,225,196.56","29,225,196.56","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.53","112.27","247,436.00","27,779,639.72","27,779,639.72","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.40","164.49","154,549.00","25,421,765.01","25,421,765.01","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
