iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 31, 2017"
Total Net Assets,"1,828,683,190.64"
Shares Outstanding,"16,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"STI","SUNTRUST BANKS INC","Equity","0.57","57.29","182,968.00","10,482,236.72","10,482,236.72","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.57","47.13","219,864.00","10,362,190.32","10,362,190.32","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HCN","WELLTOWER INC","Equity","0.56","73.39","138,569.00","10,169,578.91","10,169,578.91","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.55","192.35","52,148.00","10,030,667.80","10,030,667.80","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.52","163.15","58,247.00","9,502,998.05","9,502,998.05","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.52","68.06","138,994.00","9,459,931.64","9,459,931.64","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.51","33.02","284,388.00","9,390,491.76","9,390,491.76","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"VTR","VENTAS REIT INC","Equity","0.49","67.35","134,343.00","9,048,001.05","9,048,001.05","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.48","30.32","291,656.00","8,843,009.92","8,843,009.92","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.48","60.94","143,954.00","8,772,556.76","8,772,556.76","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"AMP","AMERIPRISE FINANCE INC","Equity","0.46","144.88","57,636.00","8,350,303.68","8,350,303.68","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.45","131.63","63,045.00","8,298,613.35","8,298,613.35","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.42","55.00","138,875.00","7,638,125.00","7,638,125.00","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.41","26.70","283,619.00","7,572,627.30","7,572,627.30","Financials","2336747","US3167731005","NASDAQ"
