iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2019"
Total Net Assets,"1,821,919,678.54"
Shares Outstanding,"15,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.59","201.30","684,978.00","137,886,071.40","137,886,071.40","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","6.73","104.36","1,170,886.00","122,193,662.96","122,193,662.96","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","5.15","29.08","3,213,714.00","93,454,803.12","93,454,803.12","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","4.88","148.12","598,018.00","88,578,426.16","88,578,426.16","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","4.10","49.89","1,491,690.00","74,420,414.10","74,420,414.10","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","3.96","224.77","319,931.00","71,910,890.87","71,910,890.87","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.03","63.98","859,883.00","55,015,314.34","55,015,314.34","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.52","51.69","534,889.00","27,648,412.41","27,648,412.41","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.50","176.15","155,132.00","27,326,501.80","27,326,501.80","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.46","107.74","246,647.00","26,573,747.78","26,573,747.78","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.32","196.70","121,805.00","23,959,043.50","23,959,043.50","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","1.26","181.91","125,974.00","22,915,930.34","22,915,930.34","Financials","2965839","US12572Q1058","NASDAQ"
