iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"1,860,125,416.54"
Shares Outstanding,"17,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PGR","PROGRESSIVE CORP","Equity","0.56","46.48","225,786.00","10,494,533.28","10,494,533.28","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HCN","WELLTOWER INC","Equity","0.56","73.22","142,304.00","10,419,498.88","10,419,498.88","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.56","55.10","187,900.00","10,353,290.00","10,353,290.00","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.54","187.73","53,552.00","10,053,316.96","10,053,316.96","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.52","67.15","142,728.00","9,584,185.20","9,584,185.20","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.51","32.61","292,047.00","9,523,652.67","9,523,652.67","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"VTR","VENTAS REIT INC","Equity","0.51","68.44","137,961.00","9,442,050.84","9,442,050.84","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.50","30.79","299,485.00","9,221,143.15","9,221,143.15","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.48","147.86","59,821.00","8,845,133.06","8,845,133.06","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.47","58.95","147,831.00","8,714,637.45","8,714,637.45","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.47","134.03","64,734.00","8,676,298.02","8,676,298.02","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"AMP","AMERIPRISE FINANCE INC","Equity","0.44","138.51","59,328.00","8,217,521.28","8,217,521.28","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.43","84.36","93,910.00","7,922,247.60","7,922,247.60","Financials","2702337","US74144T1088","NASDAQ"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.42","54.07","142,953.00","7,729,468.71","7,729,468.71","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.41","26.13","291,964.00","7,629,019.32","7,629,019.32","Financials","2336747","US3167731005","NASDAQ"
"NTRS","NORTHERN TRUST CORP TRUST","Equity","0.40","88.50","83,969.00","7,431,256.50","7,431,256.50","Financials","2648668","US6658591044","NASDAQ"
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.40","118.34","62,202.00","7,360,984.68","7,360,984.68","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.40","148.47","49,482.00","7,346,592.54","7,346,592.54","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"KEY","KEYCORP","Equity","0.39","17.21","426,485.00","7,339,806.85","7,339,806.85","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.39","153.55","47,240.00","7,253,702.00","7,253,702.00","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.39","120.60","59,887.00","7,222,372.20","7,222,372.20","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"ESS","ESSEX PROPERTY TRUST REIT INC TRUS","Equity","0.37","265.97","25,539.00","6,792,607.83","6,792,607.83","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.36","14.11","468,089.00","6,604,735.79","6,604,735.79","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.35","33.13","197,235.00","6,534,395.55","6,534,395.55","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.35","62.52","104,379.00","6,525,775.08","6,525,775.08","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.33","57.56","106,079.00","6,105,907.24","6,105,907.24","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","0.32","67.86","87,124.00","5,912,234.64","5,912,234.64","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.31","97.05","59,939.00","5,817,079.95","5,817,079.95","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"BEN","FRANKLIN RESOURCES INC","Equity","0.31","43.23","133,022.00","5,750,541.06","5,750,541.06","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.31","1,051.99","5,437.00","5,719,669.63","5,719,669.63","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.29","29.81","182,045.00","5,426,761.45","5,426,761.45","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.29","12.59","422,367.00","5,317,600.53","5,317,600.53","Financials","2445966","US4461501045","NASDAQ"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.28","12.50","420,245.00","5,253,062.50","5,253,062.50","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.28","18.12","287,477.00","5,209,083.24","5,209,083.24","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.28","32.78","158,094.00","5,182,321.32","5,182,321.32","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.27","48.24","105,730.00","5,100,415.20","5,100,415.20","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","0.27","46.58","107,324.00","4,999,151.92","4,999,151.92","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"VNO","VORNADO REALTY TRUST REIT TRUST","Equity","0.27","74.49","66,932.00","4,985,764.68","4,985,764.68","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.26","97.34","50,521.00","4,917,714.14","4,917,714.14","Financials","2740542","BMG0450A1053","NASDAQ"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.25","106.46","44,157.00","4,700,954.22","4,700,954.22","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"GGP","GGP INC","Equity","0.25","20.75","226,370.00","4,697,177.50","4,697,177.50","Real Estate","BYMYV82","US36174X1019","New York Stock Exchange Inc."
"CMA","COMERICA INC","Equity","0.25","68.25","68,782.00","4,694,371.50","4,694,371.50","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.24","76.84","58,295.00","4,479,387.80","4,479,387.80","Financials","2196888","US1720621010","NASDAQ"
"ETFC","E TRADE FINANCIAL CORP","Equity","0.24","41.01","106,870.00","4,382,738.70","4,382,738.70","Financials","2299011","US2692464017","NASDAQ"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.23","121.31","35,417.00","4,296,436.27","4,296,436.27","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.23","48.18","88,778.00","4,277,324.04","4,277,324.04","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"CBG","CBRE GROUP INC CLASS A","Equity","0.23","36.08","116,947.00","4,219,447.76","4,219,447.76","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","0.22","40.96","101,560.00","4,159,897.60","4,159,897.60","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"DRE","DUKE REALTY REIT CORP","Equity","0.22","29.72","138,318.00","4,110,810.96","4,110,810.96","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.22","43.32","94,505.00","4,093,956.60","4,093,956.60","Financials","2983154","US87236Y1082","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","0.22","57.90","69,838.00","4,043,620.20","4,043,620.20","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"MSCI","MSCI INC","Equity","0.22","114.61","35,240.00","4,038,856.40","4,038,856.40","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.22","38.82","104,021.00","4,038,095.22","4,038,095.22","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.22","22.60","178,513.00","4,034,393.80","4,034,393.80","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.22","252.48","15,977.00","4,033,872.96","4,033,872.96","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"RJF","RAYMOND JAMES INC","Equity","0.21","78.32","50,011.00","3,916,861.52","3,916,861.52","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"AMG","AFFILIATED MANAGERS GROUP INC","Equity","0.21","176.69","21,984.00","3,884,352.96","3,884,352.96","Financials","2127899","US0082521081","New York Stock Exchange Inc."
"SLG","SL GREEN REALTY REIT CORP","Equity","0.21","96.38","39,606.00","3,817,226.28","3,817,226.28","Real Estate","2096847","US78440X1019","New York Stock Exchange Inc."
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.20","77.63","49,004.00","3,804,180.52","3,804,180.52","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"IRM","IRON MOUNTAIN INC","Equity","0.20","39.42","95,650.00","3,770,523.00","3,770,523.00","Real Estate","BVFTF03","US46284V1017","New York Stock Exchange Inc."
"REG","REGENCY CENTERS REIT CORP","Equity","0.20","64.32","56,883.00","3,658,714.56","3,658,714.56","Real Estate","2726177","US7588491032","New York Stock Exchange Inc."
"CBOE","CBOE HOLDINGS INC","Equity","0.19","100.89","35,778.00","3,609,642.42","3,609,642.42","Financials","B5834C5","US12503M1080","NASDAQ"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.19","126.93","28,084.00","3,564,702.12","3,564,702.12","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"WU","WESTERN UNION","Equity","0.19","18.92","183,139.00","3,464,989.88","3,464,989.88","Information Technology","B1F76F9","US9598021098","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.19","169.34","20,439.00","3,461,140.26","3,461,140.26","Financials","2808053","US78486Q1013","NASDAQ"
"ZION","ZIONS BANCORPORATION","Equity","0.19","43.66","78,889.00","3,444,293.74","3,444,293.74","Financials","2989828","US9897011071","NASDAQ"
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.18","134.45","25,029.00","3,365,149.05","3,365,149.05","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"NDAQ","NASDAQ INC","Equity","0.18","75.38","44,267.00","3,336,846.46","3,336,846.46","Financials","2965107","US6311031081","NASDAQ"
"TMK","TORCHMARK CORP","Equity","0.18","76.97","42,252.00","3,252,136.44","3,252,136.44","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"KIM","KIMCO REALTY REIT CORP","Equity","0.17","19.62","165,748.00","3,251,975.76","3,251,975.76","Real Estate","2491594","US49446R1095","New York Stock Exchange Inc."
"VER","VEREIT INC","Equity","0.17","8.44","379,503.00","3,203,005.32","3,203,005.32","Real Estate","BYVVTJ1","US92339V1008","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.17","55.37","56,229.00","3,113,399.73","3,113,399.73","Financials","2487407","US27579R1041","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.17","562.77","5,528.00","3,110,992.56","3,110,992.56","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.16","89.48","34,157.00","3,056,368.36","3,056,368.36","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.16","58.46","51,926.00","3,035,593.96","3,035,593.96","Financials","2793610","US7841171033","NASDAQ"
"GLPI","GAMING AND LEISURE PROPERTIES REIT","Equity","0.16","39.19","76,285.00","2,989,609.15","2,989,609.15","Real Estate","BFPK4S5","US36467J1088","NASDAQ"
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.16","21.54","138,558.00","2,984,539.32","2,984,539.32","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.16","101.81","28,752.00","2,927,241.12","2,927,241.12","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"WPC","W. P. CAREY REIT INC","Equity","0.15","68.85","41,522.00","2,858,789.70","2,858,789.70","Real Estate","B826YT8","US92936U1097","New York Stock Exchange Inc."
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Equity","0.15","89.15","31,830.00","2,837,644.50","2,837,644.50","Real Estate","2563125","US29472R1086","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.15","192.95","14,622.00","2,821,314.90","2,821,314.90","Financials","B03Q9D0","US57060D1081","NASDAQ"
"CLNS","COLONY NORTHSTAR INC CLASS A","Equity","0.15","13.11","213,879.00","2,803,953.69","2,803,953.69","Real Estate","BZBYG74","US19625W1045","New York Stock Exchange Inc."
"AIV","APARTMENT INVESTMENT AND MANAGEMEN","Equity","0.15","45.33","60,974.00","2,763,951.42","2,763,951.42","Real Estate","2057059","US03748R1014","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","0.15","38.23","72,261.00","2,762,538.03","2,762,538.03","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.14","128.34","20,850.00","2,675,889.00","2,675,889.00","Financials","B00JQL9","US82669G1040","NASDAQ"
"KRC","KILROY REALTY REIT CORP","Equity","0.14","69.23","38,324.00","2,653,170.52","2,653,170.52","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"CIT","CIT GROUP INC","Equity","0.14","44.85","56,447.00","2,531,647.95","2,531,647.95","Financials","B4Z73G0","US1255818015","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.14","66.64","37,679.00","2,510,928.56","2,510,928.56","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"SUI","SUN COMMUNITIES REIT INC","Equity","0.13","90.31","27,590.00","2,491,652.90","2,491,652.90","Real Estate","2860257","US8666741041","New York Stock Exchange Inc."
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Equity","0.13","47.59","52,160.00","2,482,294.40","2,482,294.40","Real Estate","B02H871","US0248351001","New York Stock Exchange Inc."
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.13","42.60","57,593.00","2,453,461.80","2,453,461.80","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"MAC","MACERICH REIT","Equity","0.13","52.77","46,262.00","2,441,245.74","2,441,245.74","Real Estate","2543967","US5543821012","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.13","41.83","58,324.00","2,439,692.92","2,439,692.92","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.13","31.87","76,455.00","2,436,620.85","2,436,620.85","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"JHG","JANUS HENDERSON GROUP PLC","Equity","0.13","34.56","70,392.00","2,432,747.52","2,432,747.52","Financials","BYPZJQ6","JE00BYPZJM29","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.13","157.18","15,348.00","2,412,398.64","2,412,398.64","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.13","38.96","60,130.00","2,342,664.80","2,342,664.80","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"HTA","HEALTHCARE TRUST OF AMERICA REIT I","Equity","0.12","31.07","74,319.00","2,309,091.33","2,309,091.33","Real Estate","BT9QF28","US42225P5017","New York Stock Exchange Inc."
"NYCB","NEW YORK COMMUNITY BANCORP DS REP","Equity","0.12","12.05","190,460.00","2,295,043.00","2,295,043.00","Financials","2711656","US6494451031","New York Stock Exchange Inc."
"STWD","STARWOOD PROPERTY TRUST REIT INC","Equity","0.12","22.21","101,440.00","2,252,982.40","2,252,982.40","Financials","B3PQ520","US85571B1052","New York Stock Exchange Inc."
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity","0.12","16.70","133,740.00","2,233,458.00","2,233,458.00","Financials","B1W41J2","US7127041058","NASDAQ"
"BHF","BRIGHTHOUSE FINANCIAL INC","Equity","0.12","57.07","38,240.00","2,182,356.80","2,182,356.80","Financials","BF429K9","US10922N1037","NASDAQ"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.12","66.56","32,685.00","2,175,513.60","2,175,513.60","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"LAZ","LAZARD LTD CLASS A","Equity","0.12","42.89","50,460.00","2,164,229.40","2,164,229.40","Financials","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.12","121.91","17,595.00","2,145,006.45","2,145,006.45","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"EV","EATON VANCE COM NON VOTING CORP","Equity","0.12","47.58","45,023.00","2,142,194.34","2,142,194.34","Financials","2301057","US2782651036","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.11","45.15","46,809.00","2,113,426.35","2,113,426.35","Financials","2619772","US6952631033","NASDAQ"
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.11","49.06","42,856.00","2,102,515.36","2,102,515.36","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"DCT","DCT INDUSTRIAL TRUST REIT INC TRUS","Equity","0.11","58.35","35,771.00","2,087,237.85","2,087,237.85","Real Estate","BRWPYN2","US2331532042","New York Stock Exchange Inc."
"HIW","HIGHWOODS PROPERTIES REIT INC","Equity","0.11","52.23","39,880.00","2,082,932.40","2,082,932.40","Real Estate","2420640","US4312841087","New York Stock Exchange Inc."
"FCEA","FOREST CITY REALTY REIT INC TRUST","Equity","0.11","23.96","85,466.00","2,047,765.36","2,047,765.36","Real Estate","BD8Q486","US3456051099","New York Stock Exchange Inc."
"OZRK","BANK OF OZARKS","Equity","0.11","42.96","47,564.00","2,043,349.44","2,043,349.44","Financials","2085856","US0639041062","NASDAQ"
"AMH","AMERICAN HOMES RENT REIT CLASS A","Equity","0.11","22.16","92,009.00","2,038,919.44","2,038,919.44","Real Estate","BCF5RR9","US02665T3068","New York Stock Exchange Inc."
"AGO","ASSURED GUARANTY LTD","Equity","0.11","42.54","47,432.00","2,017,757.28","2,017,757.28","Financials","B00V7H8","BMG0585R1060","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","0.11","94.69","21,288.00","2,015,760.72","2,015,760.72","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.11","44.96","44,672.00","2,008,453.12","2,008,453.12","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"SNV","SYNOVUS FINANCIAL CORP","Equity","0.11","42.12","47,581.00","2,004,111.72","2,004,111.72","Financials","BMH4NJ8","US87161C5013","New York Stock Exchange Inc."
"HPP","HUDSON PACIFIC PROPERTIES REIT INC","Equity","0.11","33.00","60,652.00","2,001,516.00","2,001,516.00","Real Estate","B64B9P8","US4440971095","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","0.11","60.24","32,915.00","1,982,799.60","1,982,799.60","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
