iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"2,170,510,233.38"
Shares Outstanding,"17,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PGR","PROGRESSIVE CORP","Equity","0.57","54.10","234,104.00","12,665,026.40","12,665,026.40","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.53","195.76","60,269.00","11,798,259.44","11,798,259.44","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.53","39.68","296,198.00","11,753,136.64","11,753,136.64","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.53","79.80","146,318.00","11,676,176.40","11,676,176.40","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.52","190.78","60,629.00","11,566,800.62","11,566,800.62","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.52","37.54","304,043.00","11,413,774.22","11,413,774.22","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.49","111.63","97,583.00","10,893,190.29","10,893,190.29","Financials","2702337","US74144T1088","NASDAQ"
"MCO","MOODYS CORP","Equity","0.49","161.79","66,986.00","10,837,664.94","10,837,664.94","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"AMP","AMERIPRISE FINANCE INC","Equity","0.45","168.70","59,591.00","10,053,001.70","10,053,001.70","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.43","170.40","55,658.00","9,484,123.20","9,484,123.20","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.43","33.10","284,468.00","9,415,890.80","9,415,890.80","Financials","2336747","US3167731005","NASDAQ"
"KEY","KEYCORP","Equity","0.42","21.40","433,546.00","9,277,884.40","9,277,884.40","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.42","111.95","82,826.00","9,272,370.70","9,272,370.70","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.41","61.61","148,152.00","9,127,644.72","9,127,644.72","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP TRUST","Equity","0.41","105.39","86,581.00","9,124,771.59","9,124,771.59","Financials","2648668","US6658591044","NASDAQ"
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.41","45.90","198,371.00","9,105,228.90","9,105,228.90","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
