iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 30, 2019"
Total Net Assets,"1,775,589,195.78"
Shares Outstanding,"14,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MCO","MOODYS CORP","Equity","0.60","196.62","52,012.00","10,226,599.44","10,226,599.44","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.55","65.48","142,437.00","9,326,774.76","9,326,774.76","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"WELL","WELLTOWER INC","Equity","0.53","74.53","120,921.00","9,012,242.13","9,012,242.13","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.52","76.42","115,783.00","8,848,136.86","8,848,136.86","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.51","200.93","43,351.00","8,710,516.43","8,710,516.43","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.49","81.49","102,772.00","8,374,890.28","8,374,890.28","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.47","67.66","118,492.00","8,017,168.72","8,017,168.72","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.47","107.50","73,937.00","7,948,227.50","7,948,227.50","Financials","2702337","US74144T1088","NASDAQ"
"MTB","M&T BANK CORP","Equity","0.46","170.07","45,630.00","7,760,294.10","7,760,294.10","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC","Equity","0.45","117.71","65,034.00","7,655,152.14","7,655,152.14","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.44","184.34","40,408.00","7,448,810.72","7,448,810.72","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"FITB","FIFTH THIRD BANCORP","Equity","0.43","28.82","251,529.00","7,249,065.78","7,249,065.78","Financials","2336747","US3167731005","NASDAQ"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.42","203.73","35,235.00","7,178,426.55","7,178,426.55","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"SYF","SYNCHRONY FINANCIAL","Equity","0.42","34.67","204,377.00","7,085,750.59","7,085,750.59","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"VTR","VENTAS REIT INC","Equity","0.40","61.11","111,480.00","6,812,542.80","6,812,542.80","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP","Equity","0.40","98.55","68,356.00","6,736,483.80","6,736,483.80","Financials","2648668","US6658591044","NASDAQ"
"O","REALTY INCOME REIT CORP","Equity","0.39","70.01","95,085.00","6,656,900.85","6,656,900.85","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.39","137.62","48,348.00","6,653,651.76","6,653,651.76","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"AMP","AMERIPRISE FINANCE INC","Equity","0.37","146.77","42,690.00","6,265,611.30","6,265,611.30","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.37","26.80","233,620.00","6,261,016.00","6,261,016.00","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
