iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 31, 2017"
Total Net Assets,"1,617,835,072.31"
Shares Outstanding,"15,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"HCN","WELLTOWER INC","Equity","0.58","72.54","128,965.00","9,355,121.10","9,355,121.10","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.58","191.24","48,847.00","9,341,500.28","9,341,500.28","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.57","53.37","174,754.00","9,326,620.98","9,326,620.98","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.54","32.96","266,430.00","8,781,532.80","8,781,532.80","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.54","42.43","206,617.00","8,766,759.31","8,766,759.31","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.53","156.47","54,844.00","8,581,440.68","8,581,440.68","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.52","65.09","130,580.00","8,499,452.20","8,499,452.20","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"VTR","VENTAS REIT INC","Equity","0.52","66.49","126,158.00","8,388,245.42","8,388,245.42","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.50","58.70","137,153.00","8,050,881.10","8,050,881.10","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.45","26.85","274,066.00","7,358,672.10","7,358,672.10","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.43","118.45","58,954.00","6,983,101.30","6,983,101.30","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.41","118.19","56,570.00","6,686,008.30","6,686,008.30","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP TRUST","Equity","0.41","87.44","76,389.00","6,679,454.16","6,679,454.16","Financials","2648668","US6658591044","NASDAQ"
"KEY","KEYCORP","Equity","0.41","17.47","380,874.00","6,653,868.78","6,653,868.78","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.41","146.63","45,249.00","6,634,860.87","6,634,860.87","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.41","121.32","54,635.00","6,628,318.20","6,628,318.20","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"AMP","AMERIPRISE FINANCE INC","Equity","0.41","120.79","54,834.00","6,623,398.86","6,623,398.86","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.40","49.39","132,793.00","6,558,646.27","6,558,646.27","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.39","23.74","266,527.00","6,327,350.98","6,327,350.98","Financials","2336747","US3167731005","NASDAQ"
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.38","34.10","180,830.00","6,166,303.00","6,166,303.00","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.38","70.44","86,469.00","6,090,876.36","6,090,876.36","Financials","2702337","US74144T1088","NASDAQ"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.37","138.18","43,407.00","5,997,979.26","5,997,979.26","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"ESS","ESSEX PROPERTY TRUST REIT INC TRUS","Equity","0.37","256.92","23,286.00","5,982,639.12","5,982,639.12","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.37","62.91","94,974.00","5,974,814.34","5,974,814.34","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.37","13.84","428,142.00","5,925,485.28","5,925,485.28","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"VNO","VORNADO REALTY TRUST REIT TRUST","Equity","0.35","92.20","61,144.00","5,637,476.80","5,637,476.80","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.33","54.93","96,311.00","5,290,363.23","5,290,363.23","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.32","31.34","166,389.00","5,214,631.26","5,214,631.26","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","0.32","64.98","80,048.00","5,201,519.04","5,201,519.04","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"BEN","FRANKLIN RESOURCES INC","Equity","0.32","41.79","122,563.00","5,121,907.77","5,121,907.77","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.31","92.10","54,814.00","5,048,369.40","5,048,369.40","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.30","977.25","4,965.00","4,852,046.25","4,852,046.25","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.30","12.54","385,949.00","4,839,800.46","4,839,800.46","Financials","2445966","US4461501045","NASDAQ"
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.29","17.99","262,806.00","4,727,879.94","4,727,879.94","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","0.29","47.16","98,136.00","4,628,093.76","4,628,093.76","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"GGP","GGP INC","Equity","0.29","22.28","207,634.00","4,626,085.52","4,626,085.52","Real Estate","BYMYV82","US36174X1019","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.28","31.70","143,496.00","4,548,823.20","4,548,823.20","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.27","11.98","361,381.00","4,329,344.38","4,329,344.38","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"CMA","COMERICA INC","Equity","0.26","68.56","62,529.00","4,286,988.24","4,286,988.24","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.26","97.25","43,628.00","4,242,823.00","4,242,823.00","Financials","2740542","BMG0450A1053","NASDAQ"
