iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 29, 2017"
Total Net Assets,"1,944,425,230.52"
Shares Outstanding,"16,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PSA","PUBLIC STORAGE REIT","Equity","0.59","209.00","55,075.00","11,510,675.00","11,510,675.00","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.58","64.59","175,166.00","11,313,971.94","11,313,971.94","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.54","38.61","270,691.00","10,451,379.51","10,451,379.51","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.53","76.92","133,713.00","10,285,203.96","10,285,203.96","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.50","35.26","277,751.00","9,793,500.26","9,793,500.26","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.49","170.99","55,384.00","9,470,110.16","9,470,110.16","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.48","104.93","89,161.00","9,355,663.73","9,355,663.73","Financials","2702337","US74144T1088","NASDAQ"
"AMP","AMERIPRISE FINANCE INC","Equity","0.47","169.47","54,433.00","9,224,760.51","9,224,760.51","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.47","178.41","50,809.00","9,064,833.69","9,064,833.69","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.46","147.61","61,175.00","9,030,041.75","9,030,041.75","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"HCN","WELLTOWER INC","Equity","0.45","63.77","136,279.00","8,690,511.83","8,690,511.83","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.44","63.77","135,221.00","8,623,043.17","8,623,043.17","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.44","113.90","75,595.00","8,610,270.50","8,610,270.50","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"KEY","KEYCORP","Equity","0.41","20.17","395,709.00","7,981,450.53","7,981,450.53","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP TRUST","Equity","0.41","99.89","79,033.00","7,894,606.37","7,894,606.37","Financials","2648668","US6658591044","NASDAQ"
"FITB","FIFTH THIRD BANCORP","Equity","0.41","30.34","259,631.00","7,877,204.54","7,877,204.54","Financials","2336747","US3167731005","NASDAQ"
"VTR","VENTAS REIT INC","Equity","0.40","60.01","131,051.00","7,864,370.51","7,864,370.51","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.39","41.98","181,038.00","7,599,975.24","7,599,975.24","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.38","56.28","131,258.00","7,387,200.24","7,387,200.24","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.38","130.03","56,785.00","7,383,753.55","7,383,753.55","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.38","17.28","426,831.00","7,375,639.68","7,375,639.68","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.38","150.69","48,586.00","7,321,424.34","7,321,424.34","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.36","163.36","43,250.00","7,065,320.00","7,065,320.00","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.36","70.56","98,815.00","6,972,386.40","6,972,386.40","Financials","2803014","US74251V1026","NASDAQ"
"LNC","LINCOLN NATIONAL CORP","Equity","0.32","76.87","80,522.00","6,189,726.14","6,189,726.14","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.30","57.02","103,688.00","5,912,289.76","5,912,289.76","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"ESS","ESSEX PROPERTY TRUST REIT INC TRUS","Equity","0.30","241.37","24,297.00","5,864,566.89","5,864,566.89","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.30","1,139.13","5,147.00","5,863,102.11","5,863,102.11","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.30","14.56","397,753.00","5,791,283.68","5,791,283.68","Financials","2445966","US4461501045","NASDAQ"
"CMA","COMERICA INC","Equity","0.29","86.81","63,996.00","5,555,492.76","5,555,492.76","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.28","36.54","149,794.00","5,473,472.76","5,473,472.76","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.28","19.85","272,315.00","5,405,452.75","5,405,452.75","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"GGP","GGP INC","Equity","0.28","23.39","229,736.00","5,373,525.04","5,373,525.04","Real Estate","BYMYV82","US36174X1019","New York Stock Exchange Inc."
"BEN","FRANKLIN RESOURCES INC","Equity","0.27","43.33","120,253.00","5,210,562.49","5,210,562.49","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.27","124.59","41,749.00","5,201,507.91","5,201,507.91","Financials","B5834C5","US12503M1080","NASDAQ"
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.26","51.13","100,136.00","5,119,953.68","5,119,953.68","Financials","2983154","US87236Y1082","NASDAQ"
"L","LOEWS CORP","Equity","0.26","50.03","101,560.00","5,081,046.80","5,081,046.80","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.26","11.89","426,671.00","5,073,118.19","5,073,118.19","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.26","86.64","58,049.00","5,029,365.36","5,029,365.36","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"VNO","VORNADO REALTY TRUST REIT TRUST","Equity","0.26","78.18","63,440.00","4,959,739.20","4,959,739.20","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"ETFC","E TRADE FINANCIAL CORP","Equity","0.25","49.57","99,601.00","4,937,221.57","4,937,221.57","Financials","2299011","US2692464017","NASDAQ"
"CBG","CBRE GROUP INC CLASS A","Equity","0.25","43.31","111,170.00","4,814,772.70","4,814,772.70","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.24","29.16","163,301.00","4,761,857.16","4,761,857.16","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.24","130.59","35,222.00","4,599,640.98","4,599,640.98","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.23","233.77","19,404.00","4,536,073.08","4,536,073.08","Financials","2808053","US78486Q1013","NASDAQ"
"UNM","UNUM","Equity","0.23","54.89","82,486.00","4,527,656.54","4,527,656.54","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.23","26.08","172,617.00","4,501,851.36","4,501,851.36","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.22","90.77","48,155.00","4,371,029.35","4,371,029.35","Financials","2740542","BMG0450A1053","NASDAQ"
