iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 31, 2018"
Total Net Assets,"1,911,852,555.07"
Shares Outstanding,"15,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"JPM","JPMORGAN CHASE & CO","Equity","7.34","114.95","1,213,484.00","139,489,985.80","139,489,985.80","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.15","197.87","685,982.00","135,735,258.34","135,735,258.34","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","5.46","30.88","3,360,765.00","103,780,423.20","103,780,423.20","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","4.71","57.29","1,563,159.00","89,553,379.11","89,553,379.11","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","4.58","136.74","636,601.00","87,048,820.74","87,048,820.74","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.44","71.89","908,901.00","65,340,892.89","65,340,892.89","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","3.41","198.00","326,780.00","64,702,440.00","64,702,440.00","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.56","237.43","125,198.00","29,725,761.14","29,725,761.14","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.55","53.01","556,234.00","29,485,964.34","29,485,964.34","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.33","99.52","254,571.00","25,334,905.92","25,334,905.92","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.29","50.56","485,941.00","24,569,176.96","24,569,176.96","Financials","2262314","US6174464486","New York Stock Exchange Inc."
